id,lat,lon,city_name,pop_size,state,immunity
342,43.637429,-123.5691482,Elkton city,183,OR,0
343,45.4257723,-117.2788089,Enterprise city,2052,OR,0
344,45.2981994,-122.3323943,Estacada city,4356,OR,0
345,44.055128,-123.1174313,Eugene city,176654,OR,0
346,45.5475848,-122.4368225,Fairview city,10424,OR,0
347,44.8648027,-123.4375005,Falls City city,1051,OR,0
348,43.9916324,-124.1064557,Florence city,9396,OR,0
349,45.524366,-123.1105886,Forest Grove city,26225,OR,0
350,44.9980805,-120.2146494,Fossil city,447,OR,0
351,45.5607828,-123.9113502,Garibaldi city,830,OR,0
352,45.4348803,-123.1450604,Gaston city,676,OR,0
353,44.7560088,-122.4201299,Gates city,548,OR,0
354,46.0317188,-123.9184787,Gearhart city,1793,OR,0
355,45.1080379,-122.8964258,Gervais city,2595,OR,0
356,45.3856499,-122.5928265,Gladstone city,12017,OR,0
357,42.7380519,-123.4293547,Glendale city,858,OR,0
358,42.4132967,-124.4221617,Gold Beach city,2341,OR,0
359,42.4357891,-123.0526399,Gold Hill city,1335,OR,0
360,44.8102647,-118.4192423,Granite city,32,OR,0
361,42.4323131,-123.3317724,Grants Pass city,39189,OR,0
362,45.3590584,-120.7841658,Grass Valley city,149,OR,0
363,44.7087156,-118.4967412,Greenhorn city,3,OR,0
364,45.502319,-122.4416088,Gresham city,114247,OR,0
365,44.9122717,-117.9395522,Haines city,373,OR,0
366,44.8780228,-117.1096994,Halfway city,351,OR,0
367,44.3828907,-123.1094456,Halsey city,962,OR,0
368,45.4360265,-122.5101325,Happy Valley city,23733,OR,0
369,44.2702778,-123.1625829,Harrisburg city,3652,OR,0
370,45.8506483,-118.6590496,Helix city,194,OR,0
371,45.3529944,-119.560569,Heppner city,1187,OR,0
372,45.8325479,-119.2852824,Hermiston city,19354,OR,0
373,45.5267977,-122.9353955,Hillsboro city,106447,OR,0
374,43.5573584,-119.0819507,Hines city,1645,OR,0
375,45.7091147,-121.5260187,Hood River city,8313,OR,0
376,45.1818355,-122.8071824,Hubbard city,3426,OR,0
377,44.3500862,-117.2667629,Huntington city,502,OR,0
378,44.7015196,-122.0831885,Idanha city,156,OR,0
379,45.462114,-117.9631928,Imbler city,245,OR,0
380,44.857768,-123.1976534,Independence city,9828,OR,0
381,45.5029096,-119.8219724,Ione city,337,OR,0
382,45.8950478,-119.4887341,Irrigon city,2011,OR,0
383,45.335841,-118.0491762,Island City city,1144,OR,0
384,42.3126317,-122.9691689,Jacksonville city,3020,OR,0
385,44.7165542,-123.0059685,Jefferson city,3327,OR,0
386,44.4181213,-118.956296,John Day city,1664,OR,0
387,45.4042166,-122.5782216,Johnson City city,539,OR,0
388,42.9793326,-117.0574422,Jordan Valley city,130,OR,0
389,45.3525306,-117.2303576,Joseph city,1154,OR,0
390,44.21191,-123.2001513,Junction City city,6787,OR,0
391,45.0029713,-123.0244915,Keizer city,39376,OR,0
392,45.4011888,-122.8069428,King City city,5184,OR,0
393,42.2188449,-121.7787184,Klamath Falls city,21813,OR,0
394,45.2462607,-123.1114927,Lafayette city,4423,OR,0
395,45.3244714,-118.0868913,La Grande city,13026,OR,0
396,45.413551,-122.7000072,Lake Oswego city,40731,OR,0
397,43.5844985,-124.1719321,Lakeside city,1904,OR,0
398,42.1914378,-120.352536,Lakeview town,2418,OR,0
399,43.68685,-121.4853152,La Pine city,2512,OR,0
400,44.5309811,-122.908126,Lebanon city,18447,OR,0
401,45.4461595,-119.6879519,Lexington town,238,OR,0
402,44.9778813,-124.0060541,Lincoln City city,9815,OR,0
403,45.0887216,-119.8841246,Lonerock city,25,OR,0
404,44.7141517,-119.1042446,Long Creek city,173,OR,0
405,45.4867029,-117.4294661,Lostine city,241,OR,0
406,43.9200706,-122.7817521,Lowell city,1196,OR,0
407,44.7792547,-122.611833,Lyons city,1202,OR,0
408,45.2110474,-123.1918216,McMinnville city,34319,OR,0
409,44.6638968,-121.1604378,Madras city,7456,OR,0
410,42.0133673,-121.409744,Malin city,731,OR,0
411,45.7165841,-123.9350727,Manzanita city,603,OR,0
